Epeak p_NT gamma logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.0 0.4 2.0 -3.5 2.0 0.014 8.515 21.159 0.699 211.941 82.13 100.0 1089.431 293.866 110.21 2.334 149.693 26.324 7.865 2.38 11.862 14.635 4.341 10.033 28.159
-1.0 0.1 2.0 -3.0 2.0 0.014 8.515 24.699 17.921 297.253 268.146 100.0 364.878 292.963 175.659 8.329 168.166 22.237 8.079 3.117 13.068 14.548 1.992 11.053 28.79
-1.0 0.25 2.0 -3.0 2.0 0.014 8.515 24.348 17.469 286.941 261.065 100.0 342.94 293.971 173.894 8.61 173.279 22.083 8.045 3.248 14.438 14.497 2.463 12.211 28.758
-1.0 0.4 2.0 -3.0 2.0 0.014 8.515 23.63 16.775 271.22 249.721 100.0 312.462 295.312 170.83 9.024 179.183 21.806 8.001 3.448 16.408 14.43 3.138 13.878 28.725
-1.0 0.1 2.0 -2.0 2.0 0.014 8.515 15.807 430.664 451.68 554.251 100.0 1584.339 285.114 27.171 0.188 81.329 15.912 7.708 0.607 3.01 14.113 0.796 2.546 27.137
-1.0 0.25 2.0 -2.0 2.0 0.014 8.515 15.355 418.299 420.602 541.038 100.0 1482.529 288.262 35.07 2.386 84.702 15.676 7.599 1.029 5.6 14.027 1.482 4.737 27.073
-1.0 0.4 2.0 -2.0 2.0 0.014 8.515 14.695 396.32 380.604 515.299 100.0 1337.887 292.396 45.559 18.859 89.075 15.348 7.462 1.533 8.654 13.918 2.289 7.32 26.995
-1.0 0.1 2.0 -1.0 2.0 0.014 8.515 6.364 542.039 603.246 287.301 100.0 548.001 293.085 18.811 13.495 30.054 6.144 6.398 0.637 3.816 12.836 1.009 3.227 24.293
-1.0 0.25 2.0 -1.0 2.0 0.014 8.515 6.21 431.843 484.396 242.03 100.0 441.899 298.936 33.371 55.629 49.413 7.347 6.272 1.506 8.789 12.788 2.325 7.434 24.458
-1.0 0.4 2.0 -1.0 2.0 0.014 8.515 6.008 329.274 380.743 197.374 100.0 343.719 304.483 46.95 97.463 72.32 8.251 6.107 2.325 13.564 12.675 3.588 11.473 24.4
-1.7 0.1 2.0 -4.0 2.0 0.02 8.67 19.375 0.005 40.888 10.202 100.0 30.521 280.321 245.439 16.64 50.11 38.715 8.92 3.624 12.426 15.823 3.287 10.51 31.279
-1.7 0.25 2.0 -4.0 2.0 0.02 8.67 20.162 0.006 48.14 11.242 100.0 32.249 280.782 250.942 17.511 53.154 38.959 8.895 3.764 13.209 15.787 3.494 11.172 31.219
-1.7 0.4 2.0 -4.0 2.0 0.02 8.67 20.699 0.007 57.056 12.534 100.0 34.054 281.556 256.183 18.648 57.747 39.26 8.857 3.969 14.477 15.735 3.83 12.245 31.136
-1.7 0.1 2.0 -3.5 2.0 0.02 8.67 23.592 0.12 57.223 24.046 100.0 608.049 279.621 127.904 0.919 88.678 37.376 8.889 1.921 2.926 15.751 1.733 2.475 31.071
-1.7 0.25 2.0 -3.5 2.0 0.02 8.67 24.753 0.142 68.039 27.564 100.0 680.681 280.105 131.749 0.976 93.801 37.195 8.835 2.097 4.249 15.699 1.958 3.594 30.886
-1.7 0.4 2.0 -3.5 2.0 0.02 8.67 24.874 0.173 81.063 32.165 100.0 766.516 280.656 137.66 1.084 102.5 36.959 8.762 2.4 6.444 15.619 2.402 5.45 30.634
-1.7 0.1 2.0 -3.0 2.0 0.02 8.67 27.521 1.759 65.783 37.844 100.0 218.174 279.771 217.343 4.314 118.587 36.447 8.891 2.824 6.551 15.74 0.774 5.541 31.095
-1.7 0.25 2.0 -3.0 2.0 0.02 8.67 27.744 2.056 79.926 47.048 100.0 237.019 280.381 222.492 4.52 128.317 36.037 8.857 2.947 7.4 15.65 1.124 6.259 31.012
-1.7 0.4 2.0 -3.0 2.0 0.02 8.67 27.17 2.489 96.938 60.274 100.0 258.711 281.225 228.367 4.829 143.35 35.5 8.802 3.183 9.079 15.533 1.705 7.679 30.866
-1.7 0.1 2.0 -2.0 2.0 0.02 8.67 27.877 25.984 95.725 89.264 100.0 1279.454 278.203 31.233 0.061 109.082 36.107 8.793 0.615 1.163 15.554 0.308 0.983 30.536
-1.7 0.25 2.0 -2.0 2.0 0.02 8.67 26.508 41.274 119.461 129.069 100.0 1488.238 278.492 36.32 0.124 118.9 35.268 8.696 0.941 3.183 15.388 0.842 2.692 30.177
