alpha logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.4 -2.0 3.0 0.06 9.147 37.287 158.975 394.939 266.117 100.0 2845.292 277.419 256.832 1.142 269.276 44.436 8.717 2.406 7.052 15.422 1.866 5.965 30.155
-1.4 -1.0 3.0 0.06 9.147 15.563 936.828 800.013 482.398 100.0 2257.083 279.529 286.085 57.265 160.963 26.525 7.967 2.753 12.636 14.296 3.343 10.687 27.625
-1.4 -4.0 4.0 0.006 8.147 16.281 0.014 100.397 15.124 100.0 21.55 291.976 45.795 5.363 33.09 100.045 8.267 2.376 4.97 14.978 1.315 4.204 29.451
-1.4 -3.5 4.0 0.006 8.147 19.177 0.5 147.242 57.574 100.0 211.619 291.468 43.918 1.272 56.942 98.626 8.097 1.773 3.18 14.726 0.841 2.689 28.794
-1.4 -3.0 4.0 0.006 8.147 20.432 9.783 181.661 159.244 100.0 650.835 289.791 27.339 0.256 77.802 99.007 7.951 1.17 2.018 14.497 0.534 1.707 28.184
-1.4 -2.0 4.0 0.006 8.147 15.266 227.511 245.977 310.92 100.0 1079.4 283.46 8.035 0.016 48.762 95.5 7.819 0.404 0.979 14.192 0.259 0.828 27.328
-1.4 -1.0 4.0 0.006 8.147 6.36 481.602 463.383 159.688 100.0 859.15 281.757 4.029 1.857 16.855 59.269 7.333 0.388 1.225 13.527 0.324 1.036 25.734
-1.4 -4.0 4.0 0.008 8.272 17.738 0.017 101.042 18.914 100.0 27.829 291.064 71.237 7.124 43.028 100.035 8.31 3.08 6.377 15.026 1.687 5.394 29.552
-1.4 -3.5 4.0 0.008 8.272 21.061 0.583 148.448 69.518 100.0 268.871 290.22 68.111 1.697 74.121 98.463 8.165 2.301 4.079 14.798 1.079 3.45 28.947
-1.4 -3.0 4.0 0.008 8.272 22.262 10.814 184.591 183.76 100.0 816.231 288.139 42.432 0.347 100.99 98.709 8.06 1.519 2.593 14.609 0.686 2.193 28.426
-1.4 -2.0 4.0 0.008 8.272 16.144 252.066 259.008 350.633 100.0 1318.305 282.223 12.499 0.027 63.481 93.471 7.935 0.531 1.266 14.316 0.335 1.071 27.596
-1.4 -1.0 4.0 0.008 8.272 6.307 534.564 500.243 193.11 100.0 967.155 281.889 6.528 4.079 22.988 55.025 7.363 0.541 1.695 13.566 0.448 1.434 25.822
-1.4 -4.0 4.0 0.01 8.369 19.018 0.019 101.513 22.135 100.0 33.637 290.226 101.174 8.854 52.495 99.879 8.35 3.752 7.71 15.071 2.04 6.521 29.652
-1.4 -3.5 4.0 0.01 8.369 22.619 0.634 149.426 78.264 100.0 318.898 289.107 96.381 2.119 90.304 98.126 8.227 2.804 4.929 14.865 1.304 4.169 29.094
-1.4 -3.0 4.0 0.01 8.369 23.736 11.227 186.91 198.926 100.0 958.546 286.758 60.043 0.438 122.664 98.131 8.15 1.848 3.13 14.706 0.828 2.648 28.637
-1.4 -2.0 4.0 0.01 8.369 16.984 267.891 270.012 378.2 100.0 1522.394 281.285 17.776 0.042 77.571 91.43 8.025 0.651 1.54 14.414 0.408 1.303 27.813
